TIME:        0 | ROBOT: 1 | EVENT: INIT     | COORDS: (2, 3)
TIME:        0 | ROBOT: 3 | EVENT: INIT     | COORDS: (2, 6)
TIME:        0 | ROBOT: 2 | EVENT: INIT     | COORDS: (1, 5)
TIME:        1 | ROBOT: 2 | EVENT: MOVE_D   | COORDS: (1, 6)
TIME:        1 | ROBOT: 1 | EVENT: MOVE_D   | COORDS: (2, 4)
TIME:        2 | ROBOT: 2 | EVENT: MOVE_L   | COORDS: (0, 6)
TIME:        2 | ROBOT: 3 | EVENT: MOVE_D   | COORDS: (2, 7)
TIME:        2 | ROBOT: 1 | EVENT: MOVE_U   | COORDS: (2, 3)
TIME:        3 | ROBOT: 3 | EVENT: MOVE_U   | COORDS: (2, 6)
TIME:        3 | ROBOT: 2 | EVENT: MOVE_D   | COORDS: (0, 7)
TIME:        3 | ROBOT: 1 | EVENT: MOVE_U   | COORDS: (2, 2)
TIME:        4 | ROBOT: 1 | EVENT: MOVE_L   | COORDS: (1, 2)
TIME:        4 | ROBOT: 2 | EVENT: MOVE_D   | COORDS: (0, 8)
TIME:        4 | ROBOT: 3 | EVENT: MOVE_L   | COORDS: (1, 6)
TIME:        5 | ROBOT: 3 | EVENT: MOVE_L   | COORDS: (0, 6)
TIME:        5 | ROBOT: 1 | EVENT: MOVE_L   | COORDS: (0, 2)
TIME:        5 | ROBOT: 2 | EVENT: MOVE_R   | COORDS: (1, 8)
TIME:        6 | ROBOT: 2 | EVENT: MOVE_R   | COORDS: (2, 8)
TIME:        6 | ROBOT: 3 | EVENT: MOVE_D   | COORDS: (0, 7)
TIME:        6 | ROBOT: 1 | EVENT: MOVE_U   | COORDS: (0, 1)
TIME:        7 | ROBOT: 2 | EVENT: MOVE_U   | COORDS: (2, 7)
TIME:        7 | ROBOT: 3 | EVENT: MOVE_D   | COORDS: (0, 8)
TIME:        7 | ROBOT: 1 | EVENT: MOVE_U   | COORDS: (0, 0)
TIME:        8 | ROBOT: 2 | EVENT: MOVE_U   | COORDS: (2, 6)
TIME:        8 | ROBOT: 1 | EVENT: MOVE_R   | COORDS: (1, 0)
TIME:        8 | ROBOT: 3 | EVENT: MOVE_R   | COORDS: (1, 8)
